problem_id,class,loop0_raw,loop1_raw,loop2_raw,loop1_canonical_unique,loop2_canonical_unique,loop1_new_unique,loop2_new_unique,first_solved_loop,loop2_solved,loop2_new_canonical_vs_loop1
cf-00884,impossible,0,0,0,0,0,0,0,,0,0
cf-00885,impossible,0,0,1,0,1,0,1,2,1,1
cf-00890,impossible,0,0,1,0,1,0,1,2,1,1
cf-00891,impossible,0,0,0,0,0,0,0,,0,0
cf-00898,impossible,0,0,0,0,0,0,0,,0,0
cf-00900,impossible,0,0,0,0,0,0,0,,0,0
cf-00904,impossible,0,0,0,0,0,0,0,,0,0
cf-00914,impossible,0,0,0,0,0,0,0,,0,0
cf-00916,impossible,0,0,0,0,0,0,0,,0,0
cf-00919,impossible,0,0,0,0,0,0,0,,0,0
cf-00923,impossible,0,0,0,0,0,0,0,,0,0
cf-00933,impossible,0,0,0,0,0,0,0,,0,0
cf-00936,impossible,0,0,1,0,1,0,1,2,1,1
cf-00941,impossible,0,2,6,2,6,2,6,1,1,6
cf-00947,impossible,0,5,14,4,6,4,4,1,1,4
cf-00952,impossible,0,0,1,0,1,0,1,2,1,1
cf-00956,impossible,0,0,0,0,0,0,0,,0,0
cf-00958,impossible,0,0,0,0,0,0,0,,0,0
cf-00968,impossible,0,0,0,0,0,0,0,,0,0
cf-00980,impossible,0,0,0,0,0,0,0,,0,0
cf-00984,impossible,0,0,6,0,6,0,6,2,1,6
cf-00985,impossible,0,0,0,0,0,0,0,,0,0
cf-00989,impossible,0,0,0,0,0,0,0,,0,0
cf-01010,impossible,0,1,1,1,1,1,1,1,1,1
cf-01025,impossible,0,0,0,0,0,0,0,,0,0
cf-01026,impossible,0,0,0,0,0,0,0,,0,0
cf-01029,impossible,0,0,0,0,0,0,0,,0,0
cf-01034,impossible,0,0,0,0,0,0,0,,0,0
cf-01061,impossible,0,0,0,0,0,0,0,,0,0
cf-01064,impossible,0,0,0,0,0,0,0,,0,0
cf-01066,impossible,0,0,0,0,0,0,0,,0,0
cf-01082,impossible,0,2,3,2,3,2,3,1,1,3
cf-01093,impossible,0,4,8,3,4,3,1,1,1,1
cf-01101,impossible,0,0,0,0,0,0,0,,0,0
cf-01102,impossible,0,0,0,0,0,0,0,,0,0
cf-01106,impossible,0,2,0,2,0,2,0,1,0,0
cf-01112,impossible,0,0,0,0,0,0,0,,0,0
cf-01125,impossible,0,0,0,0,0,0,0,,0,0
cf-01127,impossible,0,0,0,0,0,0,0,,0,0
cf-01130,impossible,0,0,0,0,0,0,0,,0,0
cf-01134,impossible,0,0,0,0,0,0,0,,0,0
cf-01166,impossible,0,0,0,0,0,0,0,,0,0
cf-01168,impossible,0,0,0,0,0,0,0,,0,0
cf-01171,impossible,0,0,0,0,0,0,0,,0,0
cf-01182,impossible,0,1,5,1,4,1,4,1,1,4
cf-01193,impossible,0,0,4,0,4,0,4,2,1,4
cf-01196,impossible,0,0,0,0,0,0,0,,0,0
cf-01200,impossible,0,0,0,0,0,0,0,,0,0
cf-01201,impossible,0,0,0,0,0,0,0,,0,0
cf-01209,impossible,0,0,0,0,0,0,0,,0,0
cf-01214,impossible,0,0,0,0,0,0,0,,0,0
cf-01222,impossible,0,0,0,0,0,0,0,,0,0
cf-01223,impossible,0,0,0,0,0,0,0,,0,0
cf-01228,impossible,0,0,0,0,0,0,0,,0,0
cf-01230,impossible,0,0,0,0,0,0,0,,0,0
cf-01235,impossible,0,0,0,0,0,0,0,,0,0
cf-01237,impossible,0,0,0,0,0,0,0,,0,0
cf-01239,impossible,0,0,0,0,0,0,0,,0,0
cf-01260,impossible,0,0,1,0,1,0,1,2,1,1
cf-01267,impossible,0,0,0,0,0,0,0,,0,0
cf-01271,impossible,0,0,0,0,0,0,0,,0,0
cf-01292,impossible,0,0,0,0,0,0,0,,0,0
cf-01302,impossible,0,0,0,0,0,0,0,,0,0
cf-01304,impossible,0,0,0,0,0,0,0,,0,0
cf-01311,impossible,0,0,0,0,0,0,0,,0,0
cf-01320,impossible,0,0,0,0,0,0,0,,0,0
cf-01333,impossible,0,0,0,0,0,0,0,,0,0
cf-01339,impossible,0,0,0,0,0,0,0,,0,0
cf-01344,impossible,0,0,0,0,0,0,0,,0,0
cf-01355,impossible,0,1,1,1,1,1,1,1,1,1
cf-01366,impossible,0,2,5,2,4,2,3,1,1,3
cf-01368,impossible,0,0,0,0,0,0,0,,0,0
cf-01373,impossible,0,4,12,4,10,4,8,1,1,8
cf-01376,impossible,0,0,0,0,0,0,0,,0,0
cf-01380,impossible,0,0,0,0,0,0,0,,0,0
cf-01389,impossible,0,0,0,0,0,0,0,,0,0
cf-01392,impossible,0,0,1,0,1,0,1,2,1,1
cf-01397,impossible,0,0,0,0,0,0,0,,0,0
cf-01406,impossible,0,0,0,0,0,0,0,,0,0
cf-01415,impossible,0,1,4,1,3,1,3,1,1,3
cf-01424,impossible,0,1,4,1,4,1,3,1,1,3
cf-01427,impossible,0,0,0,0,0,0,0,,0,0
cf-01428,impossible,0,0,0,0,0,0,0,,0,0
cf-01430,impossible,0,0,0,0,0,0,0,,0,0
cf-01432,impossible,0,0,0,0,0,0,0,,0,0
cf-01445,impossible,0,16,16,10,10,10,8,1,1,8
cf-01450,impossible,0,0,0,0,0,0,0,,0,0
cf-01454,impossible,0,0,0,0,0,0,0,,0,0
cf-01465,impossible,0,0,0,0,0,0,0,,0,0
cf-01466,impossible,0,0,0,0,0,0,0,,0,0
cf-01467,impossible,0,0,0,0,0,0,0,,0,0
cf-01469,impossible,0,0,0,0,0,0,0,,0,0
cf-01475,impossible,0,0,0,0,0,0,0,,0,0
cf-01482,impossible,0,0,0,0,0,0,0,,0,0
cf-01483,impossible,0,3,3,2,3,2,3,1,1,3
cf-01523,impossible,0,0,0,0,0,0,0,,0,0
cf-01525,impossible,0,0,0,0,0,0,0,,0,0
cf-01541,impossible,0,0,0,0,0,0,0,,0,0
cf-01543,impossible,0,0,0,0,0,0,0,,0,0
cf-01556,impossible,0,0,0,0,0,0,0,,0,0
cf-01558,impossible,0,2,4,2,4,2,3,1,1,3
cf-01559,impossible,0,0,0,0,0,0,0,,0,0
